"filename", "language", "JavaScript", "Python", "Properties", "JSON", "JavaScript JSX", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\liquidacion.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\novedades.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\parametros.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\permiso.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\rol.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\usuario.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 18, 111
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\cargo.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\contrato.routes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\detalleLiquidacion.routes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\empleado.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\liquidacion.routes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\novedades.routes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\parametros.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\permiso.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\rol.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\usuario.routes.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\calculosLiquidacion.services.py", "Python", 0, 98, 0, 0, 0, 0, 0, 0, 5, 18, 121
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\cargo.services.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 9, 96
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\contrato.services.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\detalleLiquidacion.services.js", "JavaScript", 304, 0, 0, 0, 0, 0, 0, 0, 5, 44, 353
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\empleado.services.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 5, 33, 228
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\liquidacion.services.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\novedades.services.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 6, 9, 81
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\parametros.services.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 8, 17, 135
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\permiso.services.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 10, 90
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\rol.services.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 13, 102
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\usuario.services.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 18, 156
"Total", "-", 2452, 98, 2, 13063, 6796, 2468, 5, 14, 111, 1342, 26351
