"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "CSS", "Python", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmUsuario.jsx", "JavaScript JSX", 0, 0, 0, 202, 0, 0, 0, 0, 0, 16, 218
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\authContext.jsx", "JavaScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 9, 83
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\cargoContext.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 10, 68
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\contratoContext.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\detalleLiquidacionContext.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\empleadoContext.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 10, 68
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\nominaContext.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\permisoContext.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 10, 68
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\rolContext.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 10, 68
"c:\Users\Alfredo\Downloads\NomiWise\client\src\context\usuarioContext.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 8, 66
"c:\Users\Alfredo\Downloads\NomiWise\client\src\css\components.css", "CSS", 0, 0, 0, 0, 1063, 0, 0, 0, 10, 156, 1229
"c:\Users\Alfredo\Downloads\NomiWise\client\src\css\dashboard.css", "CSS", 0, 0, 0, 0, 702, 0, 0, 0, 9, 90, 801
"c:\Users\Alfredo\Downloads\NomiWise\client\src\css\loading.css", "CSS", 0, 0, 0, 0, 110, 0, 0, 0, 1, 21, 132
"c:\Users\Alfredo\Downloads\NomiWise\client\src\css\login.css", "CSS", 0, 0, 0, 0, 156, 0, 0, 0, 3, 25, 184
"c:\Users\Alfredo\Downloads\NomiWise\client\src\css\menu.css", "CSS", 0, 0, 0, 0, 335, 0, 0, 0, 3, 62, 400
"c:\Users\Alfredo\Downloads\NomiWise\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Alfredo\Downloads\NomiWise\client\src\pages\inicio.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alfredo\Downloads\NomiWise\client\src\pages\login.jsx", "JavaScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 8, 107
"c:\Users\Alfredo\Downloads\NomiWise\client\src\pages\menu.jsx", "JavaScript JSX", 0, 0, 0, 261, 0, 0, 0, 0, 1, 21, 283
"c:\Users\Alfredo\Downloads\NomiWise\client\src\routes\Routes.jsx", "JavaScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 0, 7, 88
"c:\Users\Alfredo\Downloads\NomiWise\client\src\test\LoginPage.test.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 5, 12, 72
"c:\Users\Alfredo\Downloads\NomiWise\client\vite.config.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 2, 5, 41
"c:\Users\Alfredo\Downloads\NomiWise\server\package-lock.json", "JSON", 0, 1587, 0, 0, 0, 0, 0, 0, 0, 1, 1588
"c:\Users\Alfredo\Downloads\NomiWise\server\package.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Alfredo\Downloads\NomiWise\server\src\.env", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Alfredo\Downloads\NomiWise\server\src\app.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 7, 39
"c:\Users\Alfredo\Downloads\NomiWise\server\src\config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\cargo.controllers.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\contrato.controller.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\detalleLiquidacion.controllers.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\empleado.controllers.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\liquidacion.controllers.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\permiso.controllers.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\rol.controllers.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\usuario.controllers.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 12, 105
"c:\Users\Alfredo\Downloads\NomiWise\server\src\database\database.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\cargo.dto.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\contrato.dto.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\detalleLiquidacion.dto.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\empleado.dto.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\liquidacion.dto.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\permiso.dto.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
